,Country,Name,Manufacturer,cores,Rmax,Rpeak,Power,link
0,Japan,Supercomputer Fugaku, Fujitsu,"<td style=""text-align: right;"">7,630,848</td>","<td style=""text-align: right;"">442,010.0</td>","<td style=""text-align: right;"">537,212.0</td>","<td>29,899</td>",/system/179807
1,United States,Summit, IBM,"<td style=""text-align: right;"">2,414,592</td>","<td style=""text-align: right;"">148,600.0</td>","<td style=""text-align: right;"">200,794.9</td>","<td>10,096</td>",/system/179397
2,United States,Sierra, IBM / NVIDIA / Mellanox,"<td style=""text-align: right;"">1,572,480</td>","<td style=""text-align: right;"">94,640.0</td>","<td style=""text-align: right;"">125,712.0</td>","<td>7,438</td>",/system/179398
3,China,Sunway TaihuLight, NRCPC,"<td style=""text-align: right;"">10,649,600</td>","<td style=""text-align: right;"">93,014.6</td>","<td style=""text-align: right;"">125,435.9</td>","<td>15,371</td>",/system/178764
4,United States,Perlmutter, HPE,"<td style=""text-align: right;"">706,304</td>","<td style=""text-align: right;"">64,590.0</td>","<td style=""text-align: right;"">89,794.5</td>","<td>2,528</td>",/system/179972
5,United States,Selene, Nvidia,"<td style=""text-align: right;"">555,520</td>","<td style=""text-align: right;"">63,460.0</td>","<td style=""text-align: right;"">79,215.0</td>","<td>2,646</td>",/system/179842
6,China,Tianhe-2A, NUDT,"<td style=""text-align: right;"">4,981,760</td>","<td style=""text-align: right;"">61,444.5</td>","<td style=""text-align: right;"">100,678.7</td>","<td>18,482</td>",/system/177999
7,Germany,JUWELS Booster Module, Atos,"<td style=""text-align: right;"">449,280</td>","<td style=""text-align: right;"">44,120.0</td>","<td style=""text-align: right;"">70,980.0</td>","<td>1,764</td>",/system/179894
8,Italy,HPC5, DELL EMC,"<td style=""text-align: right;"">669,760</td>","<td style=""text-align: right;"">35,450.0</td>","<td style=""text-align: right;"">51,720.8</td>","<td>2,252</td>",/system/179856
9,United States,Frontera, DELL EMC,"<td style=""text-align: right;"">448,448</td>","<td style=""text-align: right;"">23,516.4</td>","<td style=""text-align: right;"">38,745.9</td>",<td></td>,/system/179607
10,Saudi Arabia,Dammam-7, HPE,"<td style=""text-align: right;"">672,520</td>","<td style=""text-align: right;"">22,400.0</td>","<td style=""text-align: right;"">55,423.6</td>",<td></td>,/system/179885
11,Japan,ABCI 2.0, Fujitsu,"<td style=""text-align: right;"">504,000</td>","<td style=""text-align: right;"">22,208.7</td>","<td style=""text-align: right;"">54,341.0</td>","<td>1,600</td>",/system/179954
12,Japan,Wisteria/BDEC-01 (Odyssey), Fujitsu,"<td style=""text-align: right;"">368,640</td>","<td style=""text-align: right;"">22,121.0</td>","<td style=""text-align: right;"">25,952.3</td>","<td>1,468</td>",/system/179962
13,Italy,Marconi-100, IBM,"<td style=""text-align: right;"">347,776</td>","<td style=""text-align: right;"">21,640.0</td>","<td style=""text-align: right;"">29,354.0</td>","<td>1,476</td>",/system/179845
14,Switzerland,Piz Daint, Cray/HPE,"<td style=""text-align: right;"">387,872</td>","<td style=""text-align: right;"">21,230.0</td>","<td style=""text-align: right;"">27,154.3</td>","<td>2,384</td>",/system/177824
15,United States,Trinity, Cray/HPE,"<td style=""text-align: right;"">979,072</td>","<td style=""text-align: right;"">20,158.7</td>","<td style=""text-align: right;"">41,461.2</td>","<td>7,578</td>",/system/178610
16,Germany,SuperMUC-NG, Lenovo,"<td style=""text-align: right;"">305,856</td>","<td style=""text-align: right;"">19,476.6</td>","<td style=""text-align: right;"">26,873.9</td>",<td></td>,/system/179566
17,Germany,Hawk, HPE,"<td style=""text-align: right;"">698,880</td>","<td style=""text-align: right;"">19,334.0</td>","<td style=""text-align: right;"">25,159.7</td>","<td>3,906</td>",/system/179880
18,Saudi Arabia,Ghawar-1, HPE,"<td style=""text-align: right;"">714,240</td>","<td style=""text-align: right;"">19,256.0</td>","<td style=""text-align: right;"">22,855.7</td>",<td></td>,/system/179929
19,United States,Lassen, IBM / NVIDIA / Mellanox,"<td style=""text-align: right;"">288,288</td>","<td style=""text-align: right;"">18,200.0</td>","<td style=""text-align: right;"">23,047.2</td>",<td></td>,/system/179567
20,France,PANGEA III, IBM,"<td style=""text-align: right;"">291,024</td>","<td style=""text-align: right;"">17,860.0</td>","<td style=""text-align: right;"">25,025.8</td>","<td>1,367</td>",/system/179689
21,United States,HiPerGator AI, Nvidia,"<td style=""text-align: right;"">138,880</td>","<td style=""text-align: right;"">17,200.0</td>","<td style=""text-align: right;"">21,314.7</td>",<td>583</td>,/system/179940
22,South Korea,Maru, Lenovo,"<td style=""text-align: right;"">306,432</td>","<td style=""text-align: right;"">16,753.0</td>","<td style=""text-align: right;"">25,495.1</td>","<td>15,414</td>",/system/179911
23,South Korea,Guru, Lenovo,"<td style=""text-align: right;"">306,432</td>","<td style=""text-align: right;"">16,753.0</td>","<td style=""text-align: right;"">25,495.1</td>","<td>15,414</td>",/system/179912
